No_;Nazwa_PL;Skład_PL;Opis_PL;Nazwa_EN;Skład_EN;Opis_EN;Gender;Gramatura;Net Weight;PVS Item Type Code$5452f323-059e-499a-9753-5d2c07eef904;PVS Quality Type Code$5452f323-059e-499a-9753-5d2c07eef904
GVG/V3426/02;Kalkulator;ABS/Plastik;Kalkulator 10-cyfrowy w kształcie telefonu komórkowego, z funkcjami: pamięć, procent oraz pierwiastek kwadratowy ;Calculator;ABS, Plastic;Mobile phone shaped 10 digit calculator, including memory, percentage and square root calculations functions;;0;0;AB;
GMO/MO8192/06;Kalkulator.;ABS;10-cyfrowy kalkulator wykonany z ABS. Dołączona 1 szt. baterii AG13.;10 digit display Calculator;ABS;10 digit calculator in ABS. 1 battery AG13 included.;;0;0,063;AB;
GVG/V3226/03;Kalkulator na biurko;Plastik;Kalkulator na biurko;Desk calculator;Plastic;Desk calculator;;0;0;AB;
GMO/MO6215/40;8-cyfrowy kalkulator bambusowy;ABS;8-cyfrowy kalkulator z podwójnym zasilaniem, ABS, bambusowa obudowa. W zestawie 1 bateria (LR1131). Bambus jest produktem naturalnym, dlatego mogą wystąpić nieznaczne różnice w kolorze, wzorze i rozmiarze.;8 digit bamboo calculator;ABS;8 digit calculator dual power in ABS with bamboo case. 1 cell battery (LR1131) included. Bamboo is a natural product, there may be slight variations in colour and size per item, which can affect the final decoration outcome.;;0;0,069;AB;
GXD/P279-519/L063;Bambusowy kalkulator Utah, RABS;RABS, bambus FSC;Kalkulator z certyfikatem RCS, panel słoneczny, wykonany z ABS z recyklingu i bambusa z certyfikatem FSC, całkowita zawartość materiałów z recyklingu 74%, obliczona na podstawie wagi przedmiotu, ślad węglowy produktu: 0,51 kg CO2;Utah RCS recycled plastic and FSC bamboo calculator;RABS, bambus FSC;8 digit calculator made with RCS (Recycled Claim Standard) certified recycled ABS and FSC 100% bamboo. Total recycled content: 74 % based on total item weight. RCS certification ensures a completely certified supply chain of the recycled materials. With solar for re-charging and cell batteries for direct use.;;0;0,384;AB;
GPF/123428/L063;Kalkulator Eugene;Bambus.;Kalkulator Eugene.8 cyfrowy, przyjazny środowisku bambusowy kalkulator na baterie słoneczne.Bambus.;Eugene calculator;Bamboo.;Eugene calculator.8-digit bamboo calculator. Solar powered.Bamboo.;;0;0;AB;
GVG/V3226/02;Kalkulator na biurko;Plastik;Kalkulator na biurko;Desk calculator;Plastic;Desk calculator;;0;0;AB;
GVG/V3111/32;Kalkulator;ABS/LCD;Kalkulator 8-cyfrowy, wyświetlacz LCD;Calculator;ABS, Lcd;Calculator with 8 digit LCD display;;0;0;AB;
GVG/V3226/32;Kalkulator na biurko;Plastik;Kalkulator na biurko;Desk calculator;Plastic;Desk calculator;;0;0;AB;
GSE/5535/507;Podajnik na Spinacze CURLY;Tworzywo Sztuczne;Niezwykłym sposobem na ożywienie biura są kolorowe, designerskie akcesoria na biurko, wśród których prym wiedzie nagrodzony projekt mediolańskiej grupy Seventh Sense o imieniu Curly. To oryginalna postać, która na głowie, zamiast tradycyjnej fryzury, nosi nastroszone spinacze. Ciekawy sposób na utrzymanie w porządku przydatnych w pracy biurowej spinaczy, a jednocześnie wprowadzenie do miejsca pracy kolorowych dodatków, które uatrakcyjniają przestrzeń. Inspirujący projekt dostępny jest w kilku ciekawych kolorach, a jego trwałość gwarantuje wysokiej jakości tworzywo sztuczne, wykorzystane do jego produkcji.;;;;;0;0;AB;
